SrNo,Region,PostCode,PostName,Department,AgeLimit,PayLevel,ExamLevel,SC,ST,OBC,UR,EWS,Total,ESM,OH,HH,VH,Others
270,NWR,NW11326,Research Associate (BioChemistry),"Anthropological Survey of India, Ministry of Culture",,,,1,0,0,0,0,1,0,0,0,0,0
271,NWR,NW11426,Research Associate (Cultural Anthropology),"Anthropological Survey of India, Ministry of Culture",,,,1,0,0,0,1,2,0,0,0,0,0
272,NWR,NW11526,Photographer (Micro),"Anthropological Survey of India, Ministry of Culture",,,,0,0,0,1,0,1,0,0,0,0,0
273,NWR,NW11626,Junior Translator,"Anthropological Survey of India, Ministry of Culture",,,,1,0,0,1,0,2,0,0,0,0,0
274,NWR,NW11726,Library and Information,"Assistant (General and Language) National Library, Ministry of",18-28,Level 6,Graduation & Above,1,1,0,1,0,3,0,0,0,0,0
275,NWR,NW11826,Library and Information,"Assistant (General and Language) (Bodo Language) National Library, Ministry of",18-28,Level 6,Graduation & Above,0,0,0,1,0,1,0,0,0,0,0
276,NWR,NW11926,Library and Information,"Assistant (General and Language) (Dogri Language) National Library, Ministry of",18-28,Level 6,Graduation & Above,0,0,0,1,0,1,0,0,0,0,0
277,NWR,NW12026,Library and Information,"Assistant (General and Language) (Konkani Language) National Library, Ministry of",18-28,Level 6,Graduation & Above,0,0,0,1,0,1,0,0,0,0,0
278,NWR,NW12126,Library and Information,"Assistant (General and Language) (Maithili Language) National Library, Ministry of",18-28,Level 6,Graduation & Above,0,0,0,1,0,1,0,0,0,0,0
279,NWR,NW12226,Library and Information,"Assistant (General and Language) (Manipuri Language) National Library, Ministry of",18-28,Level 6,Graduation & Above,0,0,0,1,0,1,0,0,0,0,0
280,NWR,NW12326,Library and Information,"Assistant (General and Language) (Nepali Language) National Library, Ministry of",18-28,Level 6,Graduation & Above,0,0,0,1,0,1,0,0,0,0,0
281,NWR,NW12426,Library and Information,"Assistant (General and Language) (Santhali Language) National Library, Ministry of",18-28,Level 6,Graduation & Above,0,0,0,1,0,1,0,0,0,0,0
282,NWR,NW12526,Library and Information,"Assistant (General and Language) (Sindhi Language) National Library, Ministry of",18-28,Level 6,Graduation & Above,0,0,0,1,0,1,0,0,0,0,0
283,NWR,NW12626,Library and Information,"Assistant (Preservation) National Library, Ministry of",18-28,Level 6,Graduation & Above,0,0,0,1,0,1,0,0,0,0,0
284,NWR,NW12726,Library Clerk (General),"National Library, Ministry of",18-25,Level 2,Matriculation (10th),3,1,8,0,2,14,1,0,0,0,0
285,NWR,NW12826,Assistant Manager cum Storekeeper,"National Library, Ministry of",18-25,Level 4,Graduation & Above,0,0,0,1,0,1,0,0,0,0,0
286,NWR,NW12926,Mechanic (Electric cum,"Laboratory Equipment) Directorate of Plant Protection, Quarantine and Storage, Department of Agriculture & Farmers Welfare, Ministry of",18-25,Level 4,Higher Secondary (10+2),1,0,0,1,0,2,0,0,0,0,0
287,NWR,NW13026,Assistant Plant,"Protection Officer (Plant Pathology/ Virology/ Bacteriology) Directorate of Plant Protection, Quarantine and Storage, Department of Agriculture & Farmers Welfare, Ministry of",18-30,Level 6,Graduation & Above,0,1,0,6,3,10,0,0,0,0,0
288,NWR,NW13126,Assistant Plant,"Protection Officer (Entomology/ Nematology ) Directorate of Plant Protection, Quarantine and Storage, Department of Agriculture & Farmers Welfare, Ministry of",18-30,Level 6,Graduation & Above,1,0,3,7,1,12,0,0,0,0,0
289,NWR,NW13226,Assistant Plant,"Protection Officer (Weed Science) Directorate of Plant Protection, Quarantine and Storage, Department of Agriculture & Farmers Welfare, Ministry of",18-30,Level 6,Graduation & Above,1,1,3,4,0,9,0,0,0,0,0
290,NWR,NW13326,Library and Information Assistant,"Central Administrative Tribunal, Department of Personnel and Training, Ministry of Personnel,",18-30,Level 6,Graduation & Above,0,0,1,0,0,1,0,0,0,0,0
291,SR,SR10126,Navigational Assistant Grade-II,"Directorate General of Lighthouses & Lightships,",18-27,Level 6,Higher Secondary (10+2),0,0,0,1,1,2,0,0,0,0,0
292,SR,SR10226,Textile Designer,"O/o the Development Commissioner for Handlooms, Weavers,",18-30,Level 6,Higher Secondary (10+2),1,0,5,7,2,15,0,0,1,0,0
293,SR,SR10326,Farm Assistant,"Regional Fodder Station, Department of Animal Husbandry and Dairying, Ministry of Fisheries,",18-25,Level 4,Higher Secondary (10+2),0,0,1,0,0,1,0,0,0,0,0
294,SR,SR10426,Court Master,"Customs Excise and Service Tax Appellate Tribunal (CESTAT), Department of",18-30,Level 7,Graduation & Above,0,1,0,0,0,1,0,0,0,0,0
295,SR,SR10526,Pharmacist cum Clerk,"Government Medical Store Depot, Directorate General of Health Services, Ministry of Health and Family",21-28,Level 5,Higher Secondary (10+2),0,0,0,1,0,1,0,0,0,0,0
296,SR,SR10626,Lower Division Clerk,"Petroleum and Explosives safety Organization, O/o Chief Controller of Explosives, Department for Promotion of Industry and",18-25,Level 2,Matriculation (10th),2,0,0,2,1,5,1,0,0,0,0
297,SR,SR10726,Stenographer Grade-III,"Petroleum and Explosives safety Organization, O/o Chief Controller of Explosives, Department for Promotion of Industry and",18-25,Level 4,Matriculation (10th),0,0,0,2,1,3,0,0,0,0,0
298,SR,SR10826,Engine Driver,"HQENC, NHQ Ministry of Defence",,,Higher Secondary (10+2),0,0,0,2,0,2,0,0,0,0,0
299,SR,SR10926,Fireman,"HQENC, NHQ Ministry of Defence",,,,1,0,0,1,0,2,0,0,0,0,0
300,SR,SR11026,LASCAR-I,"HQENC, NHQ Ministry of Defence",,,,6,4,2,8,5,25,2,0,0,0,0
301,SR,SR11126,Master Grade II,"HQENC, NHQ Ministry of Defence",,,,0,0,0,2,0,2,0,0,0,0,0
302,SR,SR11226,Syrang of Lascars,"HQENC, NHQ Ministry of Defence",,,,0,1,0,1,0,2,0,0,0,0,0
303,SR,SR11326,Tindal of Lascar,"HQENC, NHQ Ministry of Defence",,,,0,0,0,1,0,1,0,0,0,0,0
304,SR,SR11426,Laboratory Attendant,"Central Leprosy Teaching and Research Institute, Directorate General of",18-27,Level 1,Matriculation (10th),0,0,0,1,0,1,0,0,0,0,0
305,SR,SR11526,Dhobi,"Central Leprosy Teaching and Research Institute, Directorate General of",18-27,Level 1,Matriculation (10th),0,0,1,0,0,1,0,0,0,0,0
306,SR,SR11626,Fitter,"Central Leprosy Teaching and Research Institute, Directorate General of",18-27,Level 2,Matriculation (10th),0,0,0,1,0,1,0,0,0,0,0
307,SR,SR11726,Radiographer,"Central Leprosy Teaching and Research Institute, Directorate General of",18-30,Level 6,Higher Secondary (10+2),0,0,0,1,0,1,0,0,0,0,0
308,SR,SR11826,Junior Technical Assistant (Chemical),"Geological Survey of India, Ministry of Mines",,,,0,1,1,4,1,7,0,0,0,0,0
309,SR,SR11926,Junior Technical Assistant (Geophysics),"Geological Survey of India, Ministry of Mines",,,Higher Secondary (10+2),0,0,1,2,0,3,0,0,0,0,0
310,SR,SR12026,Junior Technical Assistant (Geology),"Geological Survey of India, Ministry of Mines",,,,1,0,1,2,0,4,0,0,0,0,0
311,SR,SR12126,Drilling Assistant Grade -,,18-25,Level 4,Higher Secondary (10+2),0,0,1,3,0,4,1,0,0,0,0
312,SR,SR12226,Drilling Assistant Grade -,,18-25,Level 3,Matriculation (10th),0,0,1,4,0,5,1,0,0,0,0
313,SR,SR12326,Technical Operator,,18-25,Level 2,Matriculation (10th),1,0,2,5,0,8,1,1,0,0,0
314,SR,SR12426,Assistant Store Keeper,"Geological Survey of India, Ministry of Mines",,,,0,0,0,1,0,1,0,0,0,0,0
315,SR,SR12526,Stores Clerk (LDC Level),"Geological Survey of India, Ministry of Mines",,,Higher Secondary (10+2),0,0,0,1,0,1,0,0,0,0,0
316,SR,SR12626,Senior Projectionist,"Sardar Vallabhbhai Patel National Police Academy,",18-27,Level 4,Higher Secondary (10+2),0,0,0,1,0,1,0,0,0,0,0
317,SR,SR12726,Maintenance Supervisor,"(Mechanical/ Civil Engineering/ Electrical/ Workshop/ NonDestructive) National Test House, Department of Consumer Affairs, Ministry of",18-25,Level 5,Higher Secondary (10+2),0,0,1,0,0,1,0,0,0,0,0
318,SR,SR12826,Staff Car Driver (Ordinary Grade),"Central Forensic Science Laboratory, Directorate of Forensic Science Services,",18-25,Level 2,Matriculation (10th),0,0,1,0,0,1,0,0,0,0,0
319,SR,SR12926,Nursing Orderly,"Sardar Vallabhbhai Patel National Police Academy,",18-27,Level 2,Matriculation (10th),0,0,0,0,1,1,0,0,0,0,0
320,SR,SR13026,Canteen Attendant,"Sardar Vallabhbhai Patel National Police Academy,",18-27,Level 1,Matriculation (10th),0,0,1,0,0,1,0,0,0,0,0
321,SR,SR13126,Laboratory Assistant Grade II (Chemical),"Geological Survey of India, Ministry of Mines",,,Higher Secondary (10+2),0,0,0,2,0,2,0,0,0,0,0
322,SR,SR13226,Laboratory Assistant Grade - II (Geophysics),"Geological Survey of India, Ministry of Mines",,,Higher Secondary (10+2),0,0,0,1,0,1,0,0,0,0,0
323,SR,SR13326,Laboratory Assistant Grade II (Geology),"Geological Survey of India, Ministry of Mines",,,Higher Secondary (10+2),0,0,0,2,0,2,0,0,0,0,0
324,SR,SR13426,Laboratory Attendant,"Central Forensic Science Laboratory, Directorate of Forensic Science Services,",18-27,Level 1,Matriculation (10th),0,0,1,2,0,3,0,1,0,0,0
325,SR,SR13526,Library and Information Assistant,"Central Institute of Fisheries, Nautical and Engineering Training, Department of Fisheries, Ministry of Fisheries,",18-30,Level 6,Graduation & Above,0,0,1,0,0,1,0,0,1,0,0
326,SR,SR13626,Clerk,"Sardar Vallabhbhai Patel National Police Academy,",18-27,Level 2,Higher Secondary (10+2),0,0,0,1,0,1,0,0,0,0,0
327,SR,SR13726,Laboratory Attendant,"Sardar Vallabhbhai Patel National Police Academy,",18-25,Level 1,Higher Secondary (10+2),0,0,0,1,0,1,0,0,0,0,0
328,SR,SR13826,Lower Division Clerk,"Central Leprosy Teaching and Research Institute, Directorate General of",18-25,Level 2,Matriculation (10th),0,0,1,0,0,1,0,0,0,0,0
329,SR,SR13926,Senior Scientific Assistant (Toxicology),"Central Forensic Science Laboratory, Directorate of Forensic Science Services,",18-30,Level 6,Graduation & Above,0,0,0,1,0,1,0,1,0,0,0
330,SR,SR14026,Laboratory Technician,"Sardar Vallabhbhai Patel National Police Academy,",18-30,Level 6,Graduation & Above,0,0,0,1,0,1,0,0,0,0,0
331,SR,SR14126,Technical,"Superintendent (Weaving) O/o the Development Commissioner for Handlooms, Weavers",18-30,Level 6,Higher Secondary (10+2),2,0,0,2,0,4,0,1,0,0,0
332,SR,SR14226,Technical,"Superintendent (Processing) O/o the Development Commissioner for Handlooms, Weavers",18-30,Level 6,Higher Secondary (10+2),0,0,2,5,0,7,0,0,2,0,0
333,SR,SR14326,Data Entry Operator Grade A,"Central Leprosy Teaching and Research Institute, Directorate General of",18-27,Level 4,Higher Secondary (10+2),0,0,0,1,0,1,0,0,0,0,0
334,SR,SR14426,Library Attendant,"Central Leprosy Teaching and Research Institute, Directorate General of",18-27,Level 1,Matriculation (10th),0,0,0,1,0,1,0,0,0,0,0
335,SR,SR14526,Farm Assistant,"Regional Fodder Station, Department of Animal Husbandry and Dairying, Ministry of Fisheries,",18-25,Level 4,Higher Secondary (10+2),0,0,1,0,0,1,0,0,0,0,0
336,SR,SR14626,Nursing Officer,"Central Leprosy Teaching and Research Institute, Directorate General of",18-25,Level 7,Higher Secondary (10+2),0,2,0,5,2,9,0,1,0,0,0
337,SR,SR14726,Junior Engineer,"Central Silk Board, Ministry of Textiles,",,,Higher Secondary (10+2),1,0,0,2,0,3,0,0,0,0,0
338,WR,WR10126,Multi-Tasking Staff (NonTechnical),"Indian Meteorological Department, Mausam Bhavan, Director General of",18-25,Level 1,Matriculation (10th),0,1,17,46,6,70,7,0,1,0,1
339,WR,WR10226,Junior Technician (Orthotic),"All India Institute of Physical Medicine and Rehabilitation, Directorate General of Health Services, Ministry of Health & Family Welfare",18-27,Level 2,Matriculation (10th),2,1,2,4,1,10,1,0,0,0,0
340,WR,WR10326,Junior Technician (Leather Technology),"All India Institute of Physical Medicine and Rehabilitation, Directorate General of Health",18-27,Level 2,Matriculation (10th),0,1,1,0,1,3,0,0,0,0,0
341,WR,WR10426,Driver Mechanic (Ordinary Grade),"National Disaster Response Force Academy, Department of Home,",18-27,Level 2,Matriculation (10th),0,0,1,0,0,1,0,0,0,0,0
342,WR,WR10526,Research Assistant (Engineering) (Civil),"Central Water Power Research Station, Department of Water Resources, River Development and Ganga",18-30,Level 7,Graduation & Above,2,1,2,6,1,12,0,1,0,0,0
343,WR,WR10626,Research Assistant,"(Engineering) (Mechanical) Central Water Power Research Station, Department of Water Resources, River Development and Ganga",18-30,Level 7,Graduation & Above,0,0,1,1,0,2,0,0,0,0,0
344,WR,WR10726,Research Assistant,"(Engineering) (Electronics Instrumentation) Central Water Power Research Station, Department of Water Resources, River Development and Ganga",18-30,Level 7,Graduation & Above,1,1,0,2,0,4,0,0,0,0,0
345,WR,WR10826,Research Assistant (Engineering) (Electrical),"Central Water Power Research Station, Department of Water Resources, River Development and Ganga",18-30,Level 7,Graduation & Above,0,0,0,1,1,2,0,0,0,0,0
346,WR,WR10926,Research Assistant,"(Engineering) (Computer Science) Central Water Power Research Station, Department of Water Resources, River Development and Ganga",18-30,Level 7,Graduation & Above,1,0,1,2,0,4,0,0,0,0,0
347,WR,WR11026,Research Assistant (Scientific) (Geo -Physics),"Central Water Power Research Station, Department of Water Resources, River Development and Ganga",18-30,Level 7,Graduation & Above,0,0,1,1,0,2,0,0,0,0,0
348,WR,WR11126,Research Assistant,"(Scientific) (Physics) Central Water Power Research Station, Department of Water Resources, River Development and Ganga",18-30,Level 7,Graduation & Above,0,0,1,1,1,3,0,0,0,1,0
349,WR,WR11226,Research Assistant,"(Scientific) (Mathematics) Central Water Power Research Station, Department of Water Resources, River Development and Ganga",18-30,Level 7,Graduation & Above,0,0,0,1,0,1,0,0,0,0,0
350,WR,WR11326,Research Assistant (Scientific) (Chemistry),"Central Water and Power Research Station, Department of Water Resources, River Development and Ganga",18-30,Level 7,Graduation & Above,0,0,0,1,0,1,0,0,0,0,0
351,WR,WR11426,Laboratory Assistant Grade-II (Physics),"Central Water Power Research Station, Department of Water Resources, River Development and Ganga",21-27,Level 4,Graduation & Above,2,0,2,5,1,10,1,1,0,0,0
352,WR,WR11526,Laboratory Assistant Grade-II (Chemistry),"Central Water Power Research Station, Department of Water Resources, River Development and Ganga",21-27,Level 4,Graduation & Above,0,0,1,1,0,2,0,0,0,0,0
353,WR,WR11626,Laboratory Assistant,"Grade-II (Computer Science) Central Water Power Research Station, Department of Water Resources, River Development and Ganga",21-27,Level 4,Graduation & Above,2,1,2,4,1,10,1,0,1,0,0
354,WR,WR11726,Laboratory Assistant Grade-II (Mathematics),"Central Water Power Research Station, Department of Water Resources, River Development and Ganga",21-27,Level 4,Graduation & Above,2,1,1,5,1,10,1,0,0,0,0
355,WR,WR11826,Laboratory Assistant Grade-II (Statistics),"Central Water Power Research Station, Department of Water Resources, River Development and Ganga",21-27,Level 4,Graduation & Above,0,0,1,1,0,2,0,0,0,0,0
356,WR,WR11926,"Stockman, (Junior Grade)","Central Herd Registration Scheme, Department of Animal Husbandry and Dairying, Ministry of Fisheries,",18-27,Level 2,Higher Secondary (10+2),0,1,1,3,0,5,0,0,0,0,0
357,WR,WR12026,Marine Electrician,"Fishery Survey of India , Department of Fisheries, Ministry of Fisheries,",18-30,Level 6,Higher Secondary (10+2),1,0,0,0,0,1,0,0,0,0,0
358,WR,WR12126,Sr. Scientific Assistant,"Fishery Survey of India , Department of Fisheries, Ministry of Fisheries,",18-30,Level 6,Graduation & Above,0,0,0,1,0,1,0,0,0,0,0
